mode: set
claude-squad/main.go:28.55,45.18 6 0
claude-squad/main.go:45.18,49.5 3 0
claude-squad/main.go:52.4,53.18 2 0
claude-squad/main.go:53.18,55.5 1 0
claude-squad/main.go:57.4,57.34 1 0
claude-squad/main.go:57.34,59.5 1 0
claude-squad/main.go:62.4,63.25 2 0
claude-squad/main.go:63.25,65.5 1 0
claude-squad/main.go:67.4,68.19 2 0
claude-squad/main.go:68.19,70.5 1 0
claude-squad/main.go:71.4,71.15 1 0
claude-squad/main.go:71.15,72.18 1 0
claude-squad/main.go:72.18,73.50 1 0
claude-squad/main.go:73.50,75.7 1 0
claude-squad/main.go:79.4,79.46 1 0
claude-squad/main.go:79.46,81.5 1 0
claude-squad/main.go:83.4,83.41 1 0
claude-squad/main.go:90.55,108.18 7 0
claude-squad/main.go:108.18,110.5 1 0
claude-squad/main.go:111.4,111.55 1 0
claude-squad/main.go:111.55,113.5 1 0
claude-squad/main.go:114.4,116.72 2 0
claude-squad/main.go:116.72,118.5 1 0
claude-squad/main.go:119.4,121.49 2 0
claude-squad/main.go:121.49,123.5 1 0
claude-squad/main.go:124.4,127.46 2 0
claude-squad/main.go:127.46,129.5 1 0
claude-squad/main.go:130.4,132.14 2 0
claude-squad/main.go:139.55,160.18 8 0
claude-squad/main.go:160.18,162.5 1 0
claude-squad/main.go:163.4,167.14 3 0
claude-squad/main.go:174.48,177.4 2 0
claude-squad/main.go:181.13,191.16 5 0
claude-squad/main.go:191.16,192.13 1 0
claude-squad/main.go:195.2,197.30 3 0
claude-squad/main.go:200.13,201.42 1 0
claude-squad/main.go:201.42,203.3 1 0
claude-squad/cmd/cmd_test/testutils.go:12.47,14.2 1 0
claude-squad/cmd/cmd_test/testutils.go:16.60,18.2 1 0
claude-squad/executor/executor.go:15.40,17.2 1 0
claude-squad/executor/executor.go:19.53,21.2 1 0
claude-squad/executor/executor.go:23.30,25.2 1 0
claude-squad/executor/executor.go:27.37,28.16 1 0
claude-squad/executor/executor.go:28.16,30.3 1 0
claude-squad/executor/executor.go:31.2,31.36 1 0
claude-squad/keys/help.go:63.46,65.13 2 0
claude-squad/keys/help.go:65.13,71.3 1 0
claude-squad/keys/help.go:72.2,72.13 1 0
claude-squad/keys/help.go:76.57,78.34 2 0
claude-squad/keys/help.go:78.34,79.32 1 0
claude-squad/keys/help.go:79.32,81.4 1 0
claude-squad/keys/help.go:83.2,83.13 1 0
claude-squad/keys/help.go:87.40,89.34 2 0
claude-squad/keys/help.go:89.34,91.3 1 0
claude-squad/keys/help.go:94.2,95.36 2 0
claude-squad/keys/help.go:95.36,97.38 1 0
claude-squad/keys/help.go:97.38,99.4 1 0
claude-squad/keys/help.go:102.2,102.19 1 0
claude-squad/daemon/daemon.go:21.42,31.16 5 0
claude-squad/daemon/daemon.go:31.16,33.3 1 0
claude-squad/daemon/daemon.go:35.2,36.16 2 0
claude-squad/daemon/daemon.go:36.16,38.3 1 0
claude-squad/daemon/daemon.go:39.2,39.37 1 0
claude-squad/daemon/daemon.go:39.37,42.3 1 0
claude-squad/daemon/daemon.go:44.2,48.27 3 0
claude-squad/daemon/daemon.go:48.27,50.17 2 0
claude-squad/daemon/daemon.go:50.17,53.4 1 0
claude-squad/daemon/daemon.go:53.9,55.4 1 0
claude-squad/daemon/daemon.go:59.2,66.12 5 0
claude-squad/daemon/daemon.go:66.12,69.7 3 0
claude-squad/daemon/daemon.go:69.7,70.39 1 0
claude-squad/daemon/daemon.go:70.39,72.49 1 0
claude-squad/daemon/daemon.go:72.49,73.58 1 0
claude-squad/daemon/daemon.go:73.58,75.56 2 0
claude-squad/daemon/daemon.go:75.56,76.30 1 0
claude-squad/daemon/daemon.go:76.30,78.9 1 0
claude-squad/daemon/daemon.go:85.4,85.11 1 0
claude-squad/daemon/daemon.go:86.18,87.11 1 0
claude-squad/daemon/daemon.go:88.12,88.12 0 0
claude-squad/daemon/daemon.go:91.4,92.30 2 0
claude-squad/daemon/daemon.go:97.2,97.45 1 0
claude-squad/daemon/daemon.go:97.45,100.3 2 0
claude-squad/daemon/daemon.go:103.2,103.34 1 0
claude-squad/daemon/daemon.go:103.34,105.13 2 0
claude-squad/daemon/daemon.go:105.13,112.8 5 0
claude-squad/daemon/daemon.go:112.8,113.12 1 0
claude-squad/daemon/daemon.go:114.21,116.73 1 0
claude-squad/daemon/daemon.go:116.73,118.7 1 0
claude-squad/daemon/daemon.go:119.19,121.12 2 0
claude-squad/daemon/daemon.go:128.2,137.57 7 0
claude-squad/daemon/daemon.go:137.57,139.3 1 0
claude-squad/daemon/daemon.go:140.2,140.12 1 0
claude-squad/daemon/daemon.go:144.57,146.16 2 0
claude-squad/daemon/daemon.go:146.16,148.3 1 0
claude-squad/daemon/daemon.go:150.2,151.16 2 0
claude-squad/daemon/daemon.go:151.16,153.3 1 0
claude-squad/daemon/daemon.go:156.2,156.54 1 0
claude-squad/daemon/daemon.go:156.54,157.54 1 0
claude-squad/daemon/daemon.go:157.54,159.4 1 0
claude-squad/daemon/daemon.go:163.2,163.47 1 0
claude-squad/daemon/daemon.go:163.47,165.3 1 0
claude-squad/daemon/daemon.go:168.2,169.46 2 0
claude-squad/daemon/daemon.go:169.46,170.48 1 0
claude-squad/daemon/daemon.go:170.48,172.4 1 0
claude-squad/daemon/daemon.go:172.9,174.4 1 0
claude-squad/daemon/daemon.go:178.2,179.50 2 0
claude-squad/daemon/daemon.go:179.50,180.52 1 0
claude-squad/daemon/daemon.go:180.52,182.4 1 0
claude-squad/daemon/daemon.go:182.9,184.4 1 0
claude-squad/daemon/daemon.go:187.2,188.21 2 0
claude-squad/daemon/daemon.go:199.3,217.68 9 0
claude-squad/daemon/daemon.go:217.68,219.3 1 0
claude-squad/daemon/daemon.go:221.2,221.6 1 0
claude-squad/daemon/daemon.go:221.6,222.10 1 0
claude-squad/daemon/daemon.go:223.38,224.11 1 0
claude-squad/daemon/daemon.go:224.11,226.5 1 0
claude-squad/daemon/daemon.go:229.4,233.84 3 0
claude-squad/daemon/daemon.go:233.84,234.13 1 0
claude-squad/daemon/daemon.go:238.4,238.63 1 0
claude-squad/daemon/daemon.go:238.63,240.51 1 0
claude-squad/daemon/daemon.go:240.51,241.14 1 0
claude-squad/daemon/daemon.go:243.5,246.71 3 0
claude-squad/daemon/daemon.go:246.71,248.6 1 0
claude-squad/daemon/daemon.go:251.5,251.35 1 0
claude-squad/daemon/daemon.go:251.35,253.60 1 0
claude-squad/daemon/daemon.go:253.60,254.56 1 0
claude-squad/daemon/daemon.go:254.56,256.8 1 0
claude-squad/daemon/daemon.go:260.6,261.64 2 0
claude-squad/daemon/daemon.go:261.64,262.56 1 0
claude-squad/daemon/daemon.go:262.56,264.8 1 0
claude-squad/daemon/daemon.go:269.36,270.11 1 0
claude-squad/daemon/daemon.go:270.11,272.5 1 0
claude-squad/daemon/daemon.go:273.4,273.49 1 0
claude-squad/daemon/daemon.go:275.23,277.70 1 0
claude-squad/daemon/daemon.go:277.70,279.5 1 0
claude-squad/daemon/daemon.go:281.17,283.10 2 0
claude-squad/daemon/daemon.go:289.101,294.16 2 0
claude-squad/daemon/daemon.go:294.16,296.3 1 0
claude-squad/daemon/daemon.go:299.2,300.45 2 0
